Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,latam,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese,spanish
modDyeRgb_115_128_77,item_modifiers,mod,,,7Dyes[tm] Dye: 075-040-050 ,,7Dyes[tm] Dye: 075-040-050 ,7Dyes[tm] Dye: 075-040-050 ,7Dyes[tm] Dye: 075-040-050 ,7Dyes[tm] Dye: 075-040-050 ,7Dyes[tm] Dye: 075-040-050 ,7Dyes[tm] Dye: 075-040-050 ,7Dyes[tm] Dye: 075-040-050 ,7Dyes[tm] Dye: 075-040-050 ,7Dyes[tm] Dye: 075-040-050 ,7Dyes[tm] Dye: 075-040-050 ,7Dyes[tm] Dye: 075-040-050 ,7Dyes[tm] Dye: 075-040-050 ,7Dyes[tm] Dye: 075-040-050 
modDyeRgb_172_191_115,item_modifiers,mod,,,7Dyes[tm] Dye: 075-040-075 ,,7Dyes[tm] Dye: 075-040-075 ,7Dyes[tm] Dye: 075-040-075 ,7Dyes[tm] Dye: 075-040-075 ,7Dyes[tm] Dye: 075-040-075 ,7Dyes[tm] Dye: 075-040-075 ,7Dyes[tm] Dye: 075-040-075 ,7Dyes[tm] Dye: 075-040-075 ,7Dyes[tm] Dye: 075-040-075 ,7Dyes[tm] Dye: 075-040-075 ,7Dyes[tm] Dye: 075-040-075 ,7Dyes[tm] Dye: 075-040-075 ,7Dyes[tm] Dye: 075-040-075 ,7Dyes[tm] Dye: 075-040-075 
modDyeRgb_230_255_154,item_modifiers,mod,,,7Dyes[tm] Dye: 075-040-100 ,,7Dyes[tm] Dye: 075-040-100 ,7Dyes[tm] Dye: 075-040-100 ,7Dyes[tm] Dye: 075-040-100 ,7Dyes[tm] Dye: 075-040-100 ,7Dyes[tm] Dye: 075-040-100 ,7Dyes[tm] Dye: 075-040-100 ,7Dyes[tm] Dye: 075-040-100 ,7Dyes[tm] Dye: 075-040-100 ,7Dyes[tm] Dye: 075-040-100 ,7Dyes[tm] Dye: 075-040-100 ,7Dyes[tm] Dye: 075-040-100 ,7Dyes[tm] Dye: 075-040-100 ,7Dyes[tm] Dye: 075-040-100 
modDyeRgb_54_64_24,item_modifiers,mod,,,7Dyes[tm] Dye: 075-063-025 ,,7Dyes[tm] Dye: 075-063-025 ,7Dyes[tm] Dye: 075-063-025 ,7Dyes[tm] Dye: 075-063-025 ,7Dyes[tm] Dye: 075-063-025 ,7Dyes[tm] Dye: 075-063-025 ,7Dyes[tm] Dye: 075-063-025 ,7Dyes[tm] Dye: 075-063-025 ,7Dyes[tm] Dye: 075-063-025 ,7Dyes[tm] Dye: 075-063-025 ,7Dyes[tm] Dye: 075-063-025 ,7Dyes[tm] Dye: 075-063-025 ,7Dyes[tm] Dye: 075-063-025 ,7Dyes[tm] Dye: 075-063-025 
modDyeRgb_107_128_47,item_modifiers,mod,,,7Dyes[tm] Dye: 075-063-050 ,,7Dyes[tm] Dye: 075-063-050 ,7Dyes[tm] Dye: 075-063-050 ,7Dyes[tm] Dye: 075-063-050 ,7Dyes[tm] Dye: 075-063-050 ,7Dyes[tm] Dye: 075-063-050 ,7Dyes[tm] Dye: 075-063-050 ,7Dyes[tm] Dye: 075-063-050 ,7Dyes[tm] Dye: 075-063-050 ,7Dyes[tm] Dye: 075-063-050 ,7Dyes[tm] Dye: 075-063-050 ,7Dyes[tm] Dye: 075-063-050 ,7Dyes[tm] Dye: 075-063-050 ,7Dyes[tm] Dye: 075-063-050 
modDyeRgb_161_191_71,item_modifiers,mod,,,7Dyes[tm] Dye: 075-063-075 ,,7Dyes[tm] Dye: 075-063-075 ,7Dyes[tm] Dye: 075-063-075 ,7Dyes[tm] Dye: 075-063-075 ,7Dyes[tm] Dye: 075-063-075 ,7Dyes[tm] Dye: 075-063-075 ,7Dyes[tm] Dye: 075-063-075 ,7Dyes[tm] Dye: 075-063-075 ,7Dyes[tm] Dye: 075-063-075 ,7Dyes[tm] Dye: 075-063-075 ,7Dyes[tm] Dye: 075-063-075 ,7Dyes[tm] Dye: 075-063-075 ,7Dyes[tm] Dye: 075-063-075 ,7Dyes[tm] Dye: 075-063-075 
modDyeRgb_215_255_94,item_modifiers,mod,,,7Dyes[tm] Dye: 075-063-100 ,,7Dyes[tm] Dye: 075-063-100 ,7Dyes[tm] Dye: 075-063-100 ,7Dyes[tm] Dye: 075-063-100 ,7Dyes[tm] Dye: 075-063-100 ,7Dyes[tm] Dye: 075-063-100 ,7Dyes[tm] Dye: 075-063-100 ,7Dyes[tm] Dye: 075-063-100 ,7Dyes[tm] Dye: 075-063-100 ,7Dyes[tm] Dye: 075-063-100 ,7Dyes[tm] Dye: 075-063-100 ,7Dyes[tm] Dye: 075-063-100 ,7Dyes[tm] Dye: 075-063-100 ,7Dyes[tm] Dye: 075-063-100 
modDyeRgb_51_64_11,item_modifiers,mod,,,7Dyes[tm] Dye: 075-083-025 ,,7Dyes[tm] Dye: 075-083-025 ,7Dyes[tm] Dye: 075-083-025 ,7Dyes[tm] Dye: 075-083-025 ,7Dyes[tm] Dye: 075-083-025 ,7Dyes[tm] Dye: 075-083-025 ,7Dyes[tm] Dye: 075-083-025 ,7Dyes[tm] Dye: 075-083-025 ,7Dyes[tm] Dye: 075-083-025 ,7Dyes[tm] Dye: 075-083-025 ,7Dyes[tm] Dye: 075-083-025 ,7Dyes[tm] Dye: 075-083-025 ,7Dyes[tm] Dye: 075-083-025 ,7Dyes[tm] Dye: 075-083-025 
modDyeRgb_101_128_22,item_modifiers,mod,,,7Dyes[tm] Dye: 075-083-050 ,,7Dyes[tm] Dye: 075-083-050 ,7Dyes[tm] Dye: 075-083-050 ,7Dyes[tm] Dye: 075-083-050 ,7Dyes[tm] Dye: 075-083-050 ,7Dyes[tm] Dye: 075-083-050 ,7Dyes[tm] Dye: 075-083-050 ,7Dyes[tm] Dye: 075-083-050 ,7Dyes[tm] Dye: 075-083-050 ,7Dyes[tm] Dye: 075-083-050 ,7Dyes[tm] Dye: 075-083-050 ,7Dyes[tm] Dye: 075-083-050 ,7Dyes[tm] Dye: 075-083-050 ,7Dyes[tm] Dye: 075-083-050 
modDyeRgb_152_191_33,item_modifiers,mod,,,7Dyes[tm] Dye: 075-083-075 ,,7Dyes[tm] Dye: 075-083-075 ,7Dyes[tm] Dye: 075-083-075 ,7Dyes[tm] Dye: 075-083-075 ,7Dyes[tm] Dye: 075-083-075 ,7Dyes[tm] Dye: 075-083-075 ,7Dyes[tm] Dye: 075-083-075 ,7Dyes[tm] Dye: 075-083-075 ,7Dyes[tm] Dye: 075-083-075 ,7Dyes[tm] Dye: 075-083-075 ,7Dyes[tm] Dye: 075-083-075 ,7Dyes[tm] Dye: 075-083-075 ,7Dyes[tm] Dye: 075-083-075 ,7Dyes[tm] Dye: 075-083-075 
modDyeRgb_202_255_45,item_modifiers,mod,,,7Dyes[tm] Dye: 075-083-100 ,,7Dyes[tm] Dye: 075-083-100 ,7Dyes[tm] Dye: 075-083-100 ,7Dyes[tm] Dye: 075-083-100 ,7Dyes[tm] Dye: 075-083-100 ,7Dyes[tm] Dye: 075-083-100 ,7Dyes[tm] Dye: 075-083-100 ,7Dyes[tm] Dye: 075-083-100 ,7Dyes[tm] Dye: 075-083-100 ,7Dyes[tm] Dye: 075-083-100 ,7Dyes[tm] Dye: 075-083-100 ,7Dyes[tm] Dye: 075-083-100 ,7Dyes[tm] Dye: 075-083-100 ,7Dyes[tm] Dye: 075-083-100 
modDyeRgb_48_64_0,item_modifiers,mod,,,7Dyes[tm] Dye: 075-100-025 ,,7Dyes[tm] Dye: 075-100-025 ,7Dyes[tm] Dye: 075-100-025 ,7Dyes[tm] Dye: 075-100-025 ,7Dyes[tm] Dye: 075-100-025 ,7Dyes[tm] Dye: 075-100-025 ,7Dyes[tm] Dye: 075-100-025 ,7Dyes[tm] Dye: 075-100-025 ,7Dyes[tm] Dye: 075-100-025 ,7Dyes[tm] Dye: 075-100-025 ,7Dyes[tm] Dye: 075-100-025 ,7Dyes[tm] Dye: 075-100-025 ,7Dyes[tm] Dye: 075-100-025 ,7Dyes[tm] Dye: 075-100-025 
modDyeRgb_96_128_0,item_modifiers,mod,,,7Dyes[tm] Dye: 075-100-050 ,,7Dyes[tm] Dye: 075-100-050 ,7Dyes[tm] Dye: 075-100-050 ,7Dyes[tm] Dye: 075-100-050 ,7Dyes[tm] Dye: 075-100-050 ,7Dyes[tm] Dye: 075-100-050 ,7Dyes[tm] Dye: 075-100-050 ,7Dyes[tm] Dye: 075-100-050 ,7Dyes[tm] Dye: 075-100-050 ,7Dyes[tm] Dye: 075-100-050 ,7Dyes[tm] Dye: 075-100-050 ,7Dyes[tm] Dye: 075-100-050 ,7Dyes[tm] Dye: 075-100-050 ,7Dyes[tm] Dye: 075-100-050 
modDyeRgb_143_191_0,item_modifiers,mod,,,7Dyes[tm] Dye: 075-100-075 ,,7Dyes[tm] Dye: 075-100-075 ,7Dyes[tm] Dye: 075-100-075 ,7Dyes[tm] Dye: 075-100-075 ,7Dyes[tm] Dye: 075-100-075 ,7Dyes[tm] Dye: 075-100-075 ,7Dyes[tm] Dye: 075-100-075 ,7Dyes[tm] Dye: 075-100-075 ,7Dyes[tm] Dye: 075-100-075 ,7Dyes[tm] Dye: 075-100-075 ,7Dyes[tm] Dye: 075-100-075 ,7Dyes[tm] Dye: 075-100-075 ,7Dyes[tm] Dye: 075-100-075 ,7Dyes[tm] Dye: 075-100-075 
modPigmentRgb_191_255_0,item_modifiers,mod,,,7Dyes[tm] Dye: 075-100-100 (Pigment) ,,7Dyes[tm] Dye: 075-100-100 (Pigment) ,7Dyes[tm] Dye: 075-100-100 (Pigment) ,7Dyes[tm] Dye: 075-100-100 (Pigment) ,7Dyes[tm] Dye: 075-100-100 (Pigment) ,7Dyes[tm] Dye: 075-100-100 (Pigment) ,7Dyes[tm] Dye: 075-100-100 (Pigment) ,7Dyes[tm] Dye: 075-100-100 (Pigment) ,7Dyes[tm] Dye: 075-100-100 (Pigment) ,7Dyes[tm] Dye: 075-100-100 (Pigment) ,7Dyes[tm] Dye: 075-100-100 (Pigment) ,7Dyes[tm] Dye: 075-100-100 (Pigment) ,7Dyes[tm] Dye: 075-100-100 (Pigment) ,7Dyes[tm] Dye: 075-100-100 (Pigment) 
pigment_dust_rgb191_255_0,items,Item,,,7Dyes[tm] Pigment Powder: 075,,7Dyes[tm] Pigment Powder: 075,,7Dyes[tm] Pigment Powder: 075,,7Dyes[tm] Pigment Powder: 075,,7Dyes[tm] Pigment Powder: 075,,7Dyes[tm] Pigment Powder: 075,,7Dyes[tm] Pigment Powder: 075,,7Dyes[tm] Pigment Powder: 075,,7Dyes[tm] Pigment Powder: 075,,7Dyes[tm] Pigment Powder: 075,,7Dyes[tm] Pigment Powder: 075,,7Dyes[tm] Pigment Powder: 075,,7Dyes[tm] Pigment Powder: 075,,7Dyes[tm] Pigment Powder: 075

modDyeRgb_54_64_38,item_modifiers,mod,,,7Dyes[tm] Dye: 082-040-025 ,,7Dyes[tm] Dye: 082-040-025 ,7Dyes[tm] Dye: 082-040-025 ,7Dyes[tm] Dye: 082-040-025 ,7Dyes[tm] Dye: 082-040-025 ,7Dyes[tm] Dye: 082-040-025 ,7Dyes[tm] Dye: 082-040-025 ,7Dyes[tm] Dye: 082-040-025 ,7Dyes[tm] Dye: 082-040-025 ,7Dyes[tm] Dye: 082-040-025 ,7Dyes[tm] Dye: 082-040-025 ,7Dyes[tm] Dye: 082-040-025 ,7Dyes[tm] Dye: 082-040-025 ,7Dyes[tm] Dye: 082-040-025 
modDyeRgb_109_128_77,item_modifiers,mod,,,7Dyes[tm] Dye: 082-040-050 ,,7Dyes[tm] Dye: 082-040-050 ,7Dyes[tm] Dye: 082-040-050 ,7Dyes[tm] Dye: 082-040-050 ,7Dyes[tm] Dye: 082-040-050 ,7Dyes[tm] Dye: 082-040-050 ,7Dyes[tm] Dye: 082-040-050 ,7Dyes[tm] Dye: 082-040-050 ,7Dyes[tm] Dye: 082-040-050 ,7Dyes[tm] Dye: 082-040-050 ,7Dyes[tm] Dye: 082-040-050 ,7Dyes[tm] Dye: 082-040-050 ,7Dyes[tm] Dye: 082-040-050 ,7Dyes[tm] Dye: 082-040-050 
modDyeRgb_163_191_115,item_modifiers,mod,,,7Dyes[tm] Dye: 082-040-075 ,,7Dyes[tm] Dye: 082-040-075 ,7Dyes[tm] Dye: 082-040-075 ,7Dyes[tm] Dye: 082-040-075 ,7Dyes[tm] Dye: 082-040-075 ,7Dyes[tm] Dye: 082-040-075 ,7Dyes[tm] Dye: 082-040-075 ,7Dyes[tm] Dye: 082-040-075 ,7Dyes[tm] Dye: 082-040-075 ,7Dyes[tm] Dye: 082-040-075 ,7Dyes[tm] Dye: 082-040-075 ,7Dyes[tm] Dye: 082-040-075 ,7Dyes[tm] Dye: 082-040-075 ,7Dyes[tm] Dye: 082-040-075 
modDyeRgb_217_255_154,item_modifiers,mod,,,7Dyes[tm] Dye: 082-040-100 ,,7Dyes[tm] Dye: 082-040-100 ,7Dyes[tm] Dye: 082-040-100 ,7Dyes[tm] Dye: 082-040-100 ,7Dyes[tm] Dye: 082-040-100 ,7Dyes[tm] Dye: 082-040-100 ,7Dyes[tm] Dye: 082-040-100 ,7Dyes[tm] Dye: 082-040-100 ,7Dyes[tm] Dye: 082-040-100 ,7Dyes[tm] Dye: 082-040-100 ,7Dyes[tm] Dye: 082-040-100 ,7Dyes[tm] Dye: 082-040-100 ,7Dyes[tm] Dye: 082-040-100 ,7Dyes[tm] Dye: 082-040-100 
modDyeRgb_49_64_24,item_modifiers,mod,,,7Dyes[tm] Dye: 082-063-025 ,,7Dyes[tm] Dye: 082-063-025 ,7Dyes[tm] Dye: 082-063-025 ,7Dyes[tm] Dye: 082-063-025 ,7Dyes[tm] Dye: 082-063-025 ,7Dyes[tm] Dye: 082-063-025 ,7Dyes[tm] Dye: 082-063-025 ,7Dyes[tm] Dye: 082-063-025 ,7Dyes[tm] Dye: 082-063-025 ,7Dyes[tm] Dye: 082-063-025 ,7Dyes[tm] Dye: 082-063-025 ,7Dyes[tm] Dye: 082-063-025 ,7Dyes[tm] Dye: 082-063-025 ,7Dyes[tm] Dye: 082-063-025 
modDyeRgb_97_128_47,item_modifiers,mod,,,7Dyes[tm] Dye: 082-063-050 ,,7Dyes[tm] Dye: 082-063-050 ,7Dyes[tm] Dye: 082-063-050 ,7Dyes[tm] Dye: 082-063-050 ,7Dyes[tm] Dye: 082-063-050 ,7Dyes[tm] Dye: 082-063-050 ,7Dyes[tm] Dye: 082-063-050 ,7Dyes[tm] Dye: 082-063-050 ,7Dyes[tm] Dye: 082-063-050 ,7Dyes[tm] Dye: 082-063-050 ,7Dyes[tm] Dye: 082-063-050 ,7Dyes[tm] Dye: 082-063-050 ,7Dyes[tm] Dye: 082-063-050 ,7Dyes[tm] Dye: 082-063-050 
modDyeRgb_146_191_71,item_modifiers,mod,,,7Dyes[tm] Dye: 082-063-075 ,,7Dyes[tm] Dye: 082-063-075 ,7Dyes[tm] Dye: 082-063-075 ,7Dyes[tm] Dye: 082-063-075 ,7Dyes[tm] Dye: 082-063-075 ,7Dyes[tm] Dye: 082-063-075 ,7Dyes[tm] Dye: 082-063-075 ,7Dyes[tm] Dye: 082-063-075 ,7Dyes[tm] Dye: 082-063-075 ,7Dyes[tm] Dye: 082-063-075 ,7Dyes[tm] Dye: 082-063-075 ,7Dyes[tm] Dye: 082-063-075 ,7Dyes[tm] Dye: 082-063-075 ,7Dyes[tm] Dye: 082-063-075 
modDyeRgb_195_255_94,item_modifiers,mod,,,7Dyes[tm] Dye: 082-063-100 ,,7Dyes[tm] Dye: 082-063-100 ,7Dyes[tm] Dye: 082-063-100 ,7Dyes[tm] Dye: 082-063-100 ,7Dyes[tm] Dye: 082-063-100 ,7Dyes[tm] Dye: 082-063-100 ,7Dyes[tm] Dye: 082-063-100 ,7Dyes[tm] Dye: 082-063-100 ,7Dyes[tm] Dye: 082-063-100 ,7Dyes[tm] Dye: 082-063-100 ,7Dyes[tm] Dye: 082-063-100 ,7Dyes[tm] Dye: 082-063-100 ,7Dyes[tm] Dye: 082-063-100 ,7Dyes[tm] Dye: 082-063-100 
modDyeRgb_44_64_11,item_modifiers,mod,,,7Dyes[tm] Dye: 082-083-025 ,,7Dyes[tm] Dye: 082-083-025 ,7Dyes[tm] Dye: 082-083-025 ,7Dyes[tm] Dye: 082-083-025 ,7Dyes[tm] Dye: 082-083-025 ,7Dyes[tm] Dye: 082-083-025 ,7Dyes[tm] Dye: 082-083-025 ,7Dyes[tm] Dye: 082-083-025 ,7Dyes[tm] Dye: 082-083-025 ,7Dyes[tm] Dye: 082-083-025 ,7Dyes[tm] Dye: 082-083-025 ,7Dyes[tm] Dye: 082-083-025 ,7Dyes[tm] Dye: 082-083-025 ,7Dyes[tm] Dye: 082-083-025 
modDyeRgb_88_128_22,item_modifiers,mod,,,7Dyes[tm] Dye: 082-083-050 ,,7Dyes[tm] Dye: 082-083-050 ,7Dyes[tm] Dye: 082-083-050 ,7Dyes[tm] Dye: 082-083-050 ,7Dyes[tm] Dye: 082-083-050 ,7Dyes[tm] Dye: 082-083-050 ,7Dyes[tm] Dye: 082-083-050 ,7Dyes[tm] Dye: 082-083-050 ,7Dyes[tm] Dye: 082-083-050 ,7Dyes[tm] Dye: 082-083-050 ,7Dyes[tm] Dye: 082-083-050 ,7Dyes[tm] Dye: 082-083-050 ,7Dyes[tm] Dye: 082-083-050 ,7Dyes[tm] Dye: 082-083-050 
modDyeRgb_132_191_33,item_modifiers,mod,,,7Dyes[tm] Dye: 082-083-075 ,,7Dyes[tm] Dye: 082-083-075 ,7Dyes[tm] Dye: 082-083-075 ,7Dyes[tm] Dye: 082-083-075 ,7Dyes[tm] Dye: 082-083-075 ,7Dyes[tm] Dye: 082-083-075 ,7Dyes[tm] Dye: 082-083-075 ,7Dyes[tm] Dye: 082-083-075 ,7Dyes[tm] Dye: 082-083-075 ,7Dyes[tm] Dye: 082-083-075 ,7Dyes[tm] Dye: 082-083-075 ,7Dyes[tm] Dye: 082-083-075 ,7Dyes[tm] Dye: 082-083-075 ,7Dyes[tm] Dye: 082-083-075 
modDyeRgb_176_255_45,item_modifiers,mod,,,7Dyes[tm] Dye: 082-083-100 ,,7Dyes[tm] Dye: 082-083-100 ,7Dyes[tm] Dye: 082-083-100 ,7Dyes[tm] Dye: 082-083-100 ,7Dyes[tm] Dye: 082-083-100 ,7Dyes[tm] Dye: 082-083-100 ,7Dyes[tm] Dye: 082-083-100 ,7Dyes[tm] Dye: 082-083-100 ,7Dyes[tm] Dye: 082-083-100 ,7Dyes[tm] Dye: 082-083-100 ,7Dyes[tm] Dye: 082-083-100 ,7Dyes[tm] Dye: 082-083-100 ,7Dyes[tm] Dye: 082-083-100 ,7Dyes[tm] Dye: 082-083-100 
modDyeRgb_40_64_0,item_modifiers,mod,,,7Dyes[tm] Dye: 082-100-025 ,,7Dyes[tm] Dye: 082-100-025 ,7Dyes[tm] Dye: 082-100-025 ,7Dyes[tm] Dye: 082-100-025 ,7Dyes[tm] Dye: 082-100-025 ,7Dyes[tm] Dye: 082-100-025 ,7Dyes[tm] Dye: 082-100-025 ,7Dyes[tm] Dye: 082-100-025 ,7Dyes[tm] Dye: 082-100-025 ,7Dyes[tm] Dye: 082-100-025 ,7Dyes[tm] Dye: 082-100-025 ,7Dyes[tm] Dye: 082-100-025 ,7Dyes[tm] Dye: 082-100-025 ,7Dyes[tm] Dye: 082-100-025 
modDyeRgb_80_128_0,item_modifiers,mod,,,7Dyes[tm] Dye: 082-100-050 ,,7Dyes[tm] Dye: 082-100-050 ,7Dyes[tm] Dye: 082-100-050 ,7Dyes[tm] Dye: 082-100-050 ,7Dyes[tm] Dye: 082-100-050 ,7Dyes[tm] Dye: 082-100-050 ,7Dyes[tm] Dye: 082-100-050 ,7Dyes[tm] Dye: 082-100-050 ,7Dyes[tm] Dye: 082-100-050 ,7Dyes[tm] Dye: 082-100-050 ,7Dyes[tm] Dye: 082-100-050 ,7Dyes[tm] Dye: 082-100-050 ,7Dyes[tm] Dye: 082-100-050 ,7Dyes[tm] Dye: 082-100-050 
modDyeRgb_120_191_0,item_modifiers,mod,,,7Dyes[tm] Dye: 082-100-075 ,,7Dyes[tm] Dye: 082-100-075 ,7Dyes[tm] Dye: 082-100-075 ,7Dyes[tm] Dye: 082-100-075 ,7Dyes[tm] Dye: 082-100-075 ,7Dyes[tm] Dye: 082-100-075 ,7Dyes[tm] Dye: 082-100-075 ,7Dyes[tm] Dye: 082-100-075 ,7Dyes[tm] Dye: 082-100-075 ,7Dyes[tm] Dye: 082-100-075 ,7Dyes[tm] Dye: 082-100-075 ,7Dyes[tm] Dye: 082-100-075 ,7Dyes[tm] Dye: 082-100-075 ,7Dyes[tm] Dye: 082-100-075 
modPigmentRgb_159_255_0,item_modifiers,mod,,,7Dyes[tm] Dye: 082-100-100 (Pigment) ,,7Dyes[tm] Dye: 082-100-100 (Pigment) ,7Dyes[tm] Dye: 082-100-100 (Pigment) ,7Dyes[tm] Dye: 082-100-100 (Pigment) ,7Dyes[tm] Dye: 082-100-100 (Pigment) ,7Dyes[tm] Dye: 082-100-100 (Pigment) ,7Dyes[tm] Dye: 082-100-100 (Pigment) ,7Dyes[tm] Dye: 082-100-100 (Pigment) ,7Dyes[tm] Dye: 082-100-100 (Pigment) ,7Dyes[tm] Dye: 082-100-100 (Pigment) ,7Dyes[tm] Dye: 082-100-100 (Pigment) ,7Dyes[tm] Dye: 082-100-100 (Pigment) ,7Dyes[tm] Dye: 082-100-100 (Pigment) ,7Dyes[tm] Dye: 082-100-100 (Pigment) 
pigment_dust_rgb159_255_0,items,Item,,,7Dyes[tm] Pigment Powder: 082,,7Dyes[tm] Pigment Powder: 082,,7Dyes[tm] Pigment Powder: 082,,7Dyes[tm] Pigment Powder: 082,,7Dyes[tm] Pigment Powder: 082,,7Dyes[tm] Pigment Powder: 082,,7Dyes[tm] Pigment Powder: 082,,7Dyes[tm] Pigment Powder: 082,,7Dyes[tm] Pigment Powder: 082,,7Dyes[tm] Pigment Powder: 082,,7Dyes[tm] Pigment Powder: 082,,7Dyes[tm] Pigment Powder: 082,,7Dyes[tm] Pigment Powder: 082,,7Dyes[tm] Pigment Powder: 082

modDyeRgb_51_64_38,item_modifiers,mod,,,7Dyes[tm] Dye: 090-040-025 (Dark Lime),,7Dyes[tm] Dye: 090-040-025 (Dark Lime),7Dyes[tm] Dye: 090-040-025 (Dark Lime),7Dyes[tm] Dye: 090-040-025 (Dark Lime),7Dyes[tm] Dye: 090-040-025 (Dark Lime),7Dyes[tm] Dye: 090-040-025 (Dark Lime),7Dyes[tm] Dye: 090-040-025 (Dark Lime),7Dyes[tm] Dye: 090-040-025 (Dark Lime),7Dyes[tm] Dye: 090-040-025 (Dark Lime),7Dyes[tm] Dye: 090-040-025 (Dark Lime),7Dyes[tm] Dye: 090-040-025 (Dark Lime),7Dyes[tm] Dye: 090-040-025 (Dark Lime),7Dyes[tm] Dye: 090-040-025 (Dark Lime),7Dyes[tm] Dye: 090-040-025 (Dark Lime)
modDyeRgb_102_128_77,item_modifiers,mod,,,7Dyes[tm] Dye: 090-040-050 ,,7Dyes[tm] Dye: 090-040-050 ,7Dyes[tm] Dye: 090-040-050 ,7Dyes[tm] Dye: 090-040-050 ,7Dyes[tm] Dye: 090-040-050 ,7Dyes[tm] Dye: 090-040-050 ,7Dyes[tm] Dye: 090-040-050 ,7Dyes[tm] Dye: 090-040-050 ,7Dyes[tm] Dye: 090-040-050 ,7Dyes[tm] Dye: 090-040-050 ,7Dyes[tm] Dye: 090-040-050 ,7Dyes[tm] Dye: 090-040-050 ,7Dyes[tm] Dye: 090-040-050 ,7Dyes[tm] Dye: 090-040-050 
modDyeRgb_153_191_115,item_modifiers,mod,,,7Dyes[tm] Dye: 090-040-075 ,,7Dyes[tm] Dye: 090-040-075 ,7Dyes[tm] Dye: 090-040-075 ,7Dyes[tm] Dye: 090-040-075 ,7Dyes[tm] Dye: 090-040-075 ,7Dyes[tm] Dye: 090-040-075 ,7Dyes[tm] Dye: 090-040-075 ,7Dyes[tm] Dye: 090-040-075 ,7Dyes[tm] Dye: 090-040-075 ,7Dyes[tm] Dye: 090-040-075 ,7Dyes[tm] Dye: 090-040-075 ,7Dyes[tm] Dye: 090-040-075 ,7Dyes[tm] Dye: 090-040-075 ,7Dyes[tm] Dye: 090-040-075 
modDyeRgb_204_255_154,item_modifiers,mod,,,7Dyes[tm] Dye: 090-040-100 ,,7Dyes[tm] Dye: 090-040-100 ,7Dyes[tm] Dye: 090-040-100 ,7Dyes[tm] Dye: 090-040-100 ,7Dyes[tm] Dye: 090-040-100 ,7Dyes[tm] Dye: 090-040-100 ,7Dyes[tm] Dye: 090-040-100 ,7Dyes[tm] Dye: 090-040-100 ,7Dyes[tm] Dye: 090-040-100 ,7Dyes[tm] Dye: 090-040-100 ,7Dyes[tm] Dye: 090-040-100 ,7Dyes[tm] Dye: 090-040-100 ,7Dyes[tm] Dye: 090-040-100 ,7Dyes[tm] Dye: 090-040-100 
modDyeRgb_44_64_24,item_modifiers,mod,,,7Dyes[tm] Dye: 090-063-025 (Dark Lime),,7Dyes[tm] Dye: 090-063-025 (Dark Lime),7Dyes[tm] Dye: 090-063-025 (Dark Lime),7Dyes[tm] Dye: 090-063-025 (Dark Lime),7Dyes[tm] Dye: 090-063-025 (Dark Lime),7Dyes[tm] Dye: 090-063-025 (Dark Lime),7Dyes[tm] Dye: 090-063-025 (Dark Lime),7Dyes[tm] Dye: 090-063-025 (Dark Lime),7Dyes[tm] Dye: 090-063-025 (Dark Lime),7Dyes[tm] Dye: 090-063-025 (Dark Lime),7Dyes[tm] Dye: 090-063-025 (Dark Lime),7Dyes[tm] Dye: 090-063-025 (Dark Lime),7Dyes[tm] Dye: 090-063-025 (Dark Lime),7Dyes[tm] Dye: 090-063-025 (Dark Lime)
modDyeRgb_87_128_47,item_modifiers,mod,,,7Dyes[tm] Dye: 090-063-050 ,,7Dyes[tm] Dye: 090-063-050 ,7Dyes[tm] Dye: 090-063-050 ,7Dyes[tm] Dye: 090-063-050 ,7Dyes[tm] Dye: 090-063-050 ,7Dyes[tm] Dye: 090-063-050 ,7Dyes[tm] Dye: 090-063-050 ,7Dyes[tm] Dye: 090-063-050 ,7Dyes[tm] Dye: 090-063-050 ,7Dyes[tm] Dye: 090-063-050 ,7Dyes[tm] Dye: 090-063-050 ,7Dyes[tm] Dye: 090-063-050 ,7Dyes[tm] Dye: 090-063-050 ,7Dyes[tm] Dye: 090-063-050 
modDyeRgb_131_191_71,item_modifiers,mod,,,7Dyes[tm] Dye: 090-063-075 ,,7Dyes[tm] Dye: 090-063-075 ,7Dyes[tm] Dye: 090-063-075 ,7Dyes[tm] Dye: 090-063-075 ,7Dyes[tm] Dye: 090-063-075 ,7Dyes[tm] Dye: 090-063-075 ,7Dyes[tm] Dye: 090-063-075 ,7Dyes[tm] Dye: 090-063-075 ,7Dyes[tm] Dye: 090-063-075 ,7Dyes[tm] Dye: 090-063-075 ,7Dyes[tm] Dye: 090-063-075 ,7Dyes[tm] Dye: 090-063-075 ,7Dyes[tm] Dye: 090-063-075 ,7Dyes[tm] Dye: 090-063-075 
